GeoFips,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
36061,1,All industry total,509411971,485937445,475037039,485710419,516143664,546123247,546133887,504340908,548920749,574295954,585070202,627212574,629682393,652200331,666022941,682756899,708516749,726431074,743712080,722690958,769895229,787290015,797092203
36061,2,  Private industries,475436475,452144860,441979596,452087529,482666160,513333562,512831485,471379327,516059144,541430773,552478603,595602615,597386568,619460427,633613346,650350474,675718145,694150035,711059151,691243016,739047787,757083760,765988583
36061,3,"    Agriculture, forestry, fishing and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),37731,33789,36339
36061,6,"    Mining, quarrying, and oil and gas extraction",10748,5097,3870,4455,6574,4528,5444,7213,6799,10804,7672,7088,7493,10473,9501,8154,6895,5326,6461,4340,(D),4693,3123
36061,10,    Utilities,910859,1016969,1141836,1870190,1603236,1569009,1274791,1433227,1058628,1230564,1318608,1520861,1606734,1586016,1633105,1640674,2279154,3154197,3497316,4655420,3918244,3040178,3107097
36061,11,    Construction,8972790,8531625,8215926,7138188,7320788,6941210,8811192,8932638,7847660,6524815,5975392,5596109,6358090,6769282,8285840,9691064,10272585,10407687,9483449,7572215,7438224,6364374,6087214
36061,12,    Manufacturing,5628513,5383993,5139249,5660222,5872148,5874235,6604320,5793167,5025432,5261197,4565657,3843570,3684199,4182175,4110610,4040560,4007194,3956939,3558472,3079365,3118219,3655588,3530396
36061,13,      Durable goods manufacturing,(D),(D),(D),(D),1216474,(D),(D),(D),(D),1025941,869729,803704,803664,963436,1128823,1280030,1359336,1413585,1259932,1028459,1027108,1261444,1128175
36061,25,      Nondurable goods manufacturing,(D),(D),(D),(D),4657642,(D),(D),(D),(D),4245564,3706106,3045310,2884570,3222061,2982175,2760337,2647857,2543425,2298590,2050742,2090583,2396052,2400165
36061,34,    Wholesale trade,21263300,21240662,22558898,23450960,23733041,23927787,24241742,23622769,21019534,23213247,23361164,24536748,24632304,25570154,27732436,27195804,27542474,27291962,27341566,25892274,24202314,23729759,23162852
36061,35,    Retail trade,11097509,11526704,12108461,12140242,13454562,13255666,13235363,13539457,12456990,13182710,14600486,14863150,15523033,15999941,16103876,17130239,17987636,18666380,19075819,16067387,15659818,14867902,16501176
36061,36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3385214,3638354
36061,45,    Information,34557898,39696253,38918165,41121127,40620571,41487457,48119714,51564517,55126899,61467447,64796984,65947588,73652487,79222248,88249403,96791970,101034875,116698379,128224472,131461900,142323446,150522298,162526334
36061,50,"    Finance, insurance, real estate, rental, and leasing",255169330,216545069,203759032,206018648,232018979,260543378,240052229,178829402,251986999,261709606,262447516,303636475,288801750,294860507,288287908,289591801,298547456,286927030,283430376,293620305,316027059,317045670,310317262
36061,51,      Finance and insurance,204249595,168788511,155633562,156570502,179688799,208444114,182682062,122273842,209472007,210923341,207173205,245382780,225946795,231190069,228342648,229273052,229421343,215202701,214770291,229312623,238890581,237777976,230555789
36061,56,      Real estate and rental and leasing,49524807,45492073,45246743,46366636,49517096,50160131,54060828,51775678,45315238,51795340,55292403,59444885,62749769,63624590,60072733,60449937,69126112,71871690,68694118,64047646,77384664,79688627,80323447
36061,59,    Professional and business services,94505588,94695140,93566075,93019484,99131604,101501719,106384860,110705110,96096652,100218146,103734562,106187483,107191321,113003489,119354074,121735100,127787449,134038091,142373671,135207005,145140514,152958896,155137401
36061,60,"      Professional, scientific, and technical services",66235445,65098405,63682580,63409411,68357106,71786460,76097575,81634358,71464694,71171703,75087622,77349867,78205377,82455644,87146566,91161391,93312166,95809598,99638083,98376553,108640194,113149659,115408215
36061,64,      Management of companies and enterprises,16053711,18345509,16888916,14598701,14738110,14668585,15001186,15039181,12296159,15474013,15675440,15210831,15417481,16368104,16414372,15176234,16579124,17829379,18875460,18066339,20564572,22157843,21881587
36061,65,      Administrative and support and waste management and remediation services,12463811,11811094,13230119,14951637,15964429,15026219,15299713,14118704,12497421,13392215,12810558,13563124,13491918,14087071,15756786,15407180,17896159,20406734,23857225,18812473,16184509,17934893,18060609
36061,68,"    Educational services, health care, and social assistance",24401938,24871820,26194313,27166236,27396405,28289665,28418034,29977035,30985078,31622229,32051713,32770690,34132915,35070748,36214665,37181467,37849766,39207874,40205021,38363204,39581037,41638445,44106350
36061,69,      Educational services,8034486,8049917,8514771,9115037,9301421,9657480,9727340,10506701,11294129,11634625,11884874,12321441,12664379,13028337,14981200,15568091,15577648,16063064,16090100,15070370,15492536,16439645,16904688
36061,70,      Health care and social assistance,16227896,16654104,17509268,17920143,17978439,18518439,18579430,19379019,19638335,19943903,20130327,20424073,21432656,22006179,21232385,21615033,22272118,23145179,24120320,23303142,24100325,25208782,27218380
36061,75,"    Arts, entertainment, recreation, accommodation, and food services",21361521,21338837,22086634,24803651,24780184,26392529,26834558,28730985,28405845,29629173,30873306,32747586,33767416,33480503,32455915,33711670,35978365,40482958,41795645,24229350,31405236,34955231,36376733
36061,76,"      Arts, entertainment, and recreation",6918565,6817228,7068494,8946131,8893358,10131095,10687190,12086161,13069980,13009282,12968940,14033942,13857682,14441118,13365359,14231558,15531412,16674692,16966428,10511046,11880048,13670850,14302698
36061,79,      Accommodation and food services,14578441,14659247,15160165,15959479,15991631,16327889,16188265,16648138,15281931,16594041,17908462,18706548,19917977,19035448,19094568,19481301,20446953,23799501,24812681,13717243,19487496,21286858,22087652
36061,82,    Other services (except government and government enterprises),8699089,8624841,8689573,8743698,8897139,8598560,8699897,9037659,8341624,7604934,7728596,8114448,8552061,9203754,9548903,9696740,10197770,10528291,10574974,9351802,9080559,9247012,8769837
36061,83,Government and government enterprises,33994458,34006028,33268895,33819869,33467912,32554933,33105488,32898113,32737690,32768753,32509242,31578173,32254522,32706789,32392835,32402464,32798604,32279282,32651581,31452837,30945966,30340644,31230579
36061,87,Natural resources and mining,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),38940,39547
36061,88,Trade,32220148,32674614,34554216,35426903,37130450,37099674,37376333,37114333,33456520,36353425,37956683,39382452,40153689,41565442,43797045,44319780,45530111,45951424,46400693,41977986,39889127,38615609,39658174
36061,89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6365166,6672741
36061,90,Manufacturing and information,39393372,44467783,43496480,46121795,45762595,46648386,53948461,56824534,59810245,66403136,69172330,69708141,77316981,83361006,92346584,100830933,105042069,120650302,131757084,134487124,145367036,154143573,165933524
36061,91,Private goods-producing industries 2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9939662,9537985
36061,92,Private services-providing industries 3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),747239606,756620578
