Real Value Added by Industry
Real Value Added by Industry
"Last Revised on: March 27, 2025"
Line,,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Gross domestic product",21903.9,21919.2,22066.8,22249.5,22403.4,22539.4,22780.9,22960.6,23053.5,23223.9,23400.3,23542.3
2,Private industries,19386.8,19392.8,19537.1,19708.3,19843.5,19969.4,20197.7,20361.1,20441.0,20606.6,20769.3,20892.1
3,"    Agriculture, forestry, fishing, and hunting",186.9,184.2,184.6,186.9,188.5,195.4,192.9,193.9,196.5,207.3,203.1,203.5
4,"        Farms",143.4,141.7,141.5,143.1,144.3,150.0,148.4,149.8,152.8,164.1,161.6,160.8
5,"        Forestry, fishing, and related activities",43.0,41.7,42.8,43.9,44.5,44.7,43.8,43.1,42.8,42.3,40.6,41.8
6,"    Mining",243.3,232.9,250.0,280.8,303.5,340.1,351.2,350.4,340.8,336.6,337.6,343.6
7,"        Oil and gas extraction",127.2,120.6,131.8,156.4,175.0,210.8,222.0,226.6,215.2,213.4,215.7,221.8
8,"        Mining, except oil and gas",55.4,53.4,53.4,52.7,53.8,52.9,54.1,52.9,51.9,50.4,51.6,51.4
9,"        Support activities for mining",75.7,77.2,83.3,85.5,86.3,88.8,86.5,80.6,84.8,84.3,80.2,80.9
10,"    Utilities",332.5,330.1,319.0,326.2,327.0,366.3,332.9,345.7,337.6,342.2,341.4,350.8
11,"    Construction",884.3,851.7,813.5,810.4,807.2,811.0,829.6,836.5,853.3,864.1,863.7,873.8
12,"    Manufacturing",2327.8,2301.1,2302.4,2312.4,2255.5,2294.4,2345.0,2376.8,2337.3,2383.8,2402.8,2406.8
13,"        Durable goods",1294.2,1301.4,1288.4,1289.8,1268.2,1281.8,1285.3,1294.0,1259.0,1277.0,1286.5,1283.4
14,"            Wood products",32.2,32.8,36.3,38.4,38.0,36.7,38.9,41.5,37.4,35.4,38.2,39.9
15,"            Nonmetallic mineral products",60.0,61.2,57.8,56.5,54.3,53.1,53.0,52.3,50.3,50.7,50.9,50.9
16,"            Primary metals",68.2,70.6,76.4,88.4,95.4,86.0,92.9,99.5,87.5,94.2,103.4,108.5
17,"            Fabricated metal products",137.9,136.2,131.6,129.3,127.4,122.6,123.1,124.5,119.9,120.1,119.2,120.7
18,"            Machinery",157.9,158.4,155.6,154.2,147.3,145.0,144.4,147.0,143.4,145.5,144.8,140.0
19,"            Computer and electronic products",305.0,304.1,299.5,297.2,297.7,303.4,301.9,299.5,292.1,292.9,288.5,291.5
20,"            Electrical equipment, appliances, and components",57.7,57.0,54.4,52.7,50.8,50.7,48.8,48.4,48.8,48.4,48.5,48.9
21,"            Motor vehicles, bodies and trailers, and parts",203.0,216.0,206.5,197.6,185.0,199.5,198.1,193.6,209.9,219.9,213.8,212.0
22,"            Other transportation equipment",154.9,151.7,154.3,163.0,163.0,178.4,176.1,178.0,161.9,168.4,176.9,169.0
23,"            Furniture and related products",29.6,28.7,26.6,24.7,23.5,22.8,22.6,22.3,22.5,22.5,21.9,21.9
24,"            Miscellaneous manufacturing",102.8,102.5,102.8,100.7,99.9,103.2,105.5,106.1,106.5,105.3,107.8,109.2
25,"        Nondurable goods",1035.3,1004.6,1016.6,1024.7,990.4,1014.4,1059.4,1081.9,1076.9,1105.2,1114.6,1121.7
26,"            Food and beverage and tobacco products",299.4,288.8,288.4,298.6,291.1,278.6,285.2,280.2,278.0,279.8,284.9,289.9
27,"            Textile mills and textile product mills",15.6,15.2,14.8,14.4,14.2,13.8,13.9,13.9,14.0,14.3,14.0,14.3
28,"            Apparel and leather and allied products",11.5,12.3,12.5,12.9,12.4,12.0,11.6,11.9,11.7,11.7,11.6,11.4
29,"            Paper products",65.0,63.3,58.9,57.4,57.4,56.9,57.4,56.4,54.7,56.0,54.4,55.0
30,"            Printing and related support activities",35.8,34.3,34.1,33.6,31.8,31.5,30.9,30.3,30.1,30.4,30.7,30.6
31,"            Petroleum and coal products",96.6,93.9,105.8,94.0,88.2,114.8,125.9,135.2,128.6,145.7,143.5,137.1
32,"            Chemical products",439.5,425.8,425.5,452.1,435.1,429.7,449.8,466.1,474.0,480.7,490.7,498.7
33,"            Plastics and rubber products",72.9,71.7,66.3,63.7,62.4,62.0,64.9,64.8,65.1,63.5,62.5,62.8
34,"    Wholesale trade",1178.4,1157.4,1174.3,1191.0,1187.6,1167.0,1163.0,1158.0,1169.3,1175.8,1185.0,1182.4
35,"    Retail trade",1154.1,1164.3,1191.3,1241.8,1270.4,1274.5,1343.1,1382.6,1405.1,1403.1,1464.6,1474.4
36,"        Motor vehicle and parts dealers",153.3,154.0,157.2,177.1,193.2,208.7,231.2,258.6,283.1,294.7,324.0,333.8
37,"        Food and beverage stores",174.2,166.1,164.5,159.5,159.9,157.2,160.2,161.5,158.8,156.5,163.2,163.9
38,"        General merchandise stores",172.1,158.4,149.5,147.7,147.4,139.9,150.6,155.5,154.4,150.0,158.5,157.6
39,"        Other retail",677.7,708.9,744.8,775.7,781.6,774.5,803.3,805.1,806.6,800.7,818.7,820.0
40,"    Transportation and warehousing",697.6,694.7,697.6,697.0,699.7,705.1,711.2,711.8,713.3,714.0,721.4,730.5
